Filename,Age,Mean F0,Mean Confidence,Fallback Used
0Y-8week-046A-06.wav,0.0,778.7796837127254,0.6203605450563512,"No Fallback, 90% Confidence"
5Y-000A-F9-HD-06.wav,5.0,1850.006021527531,0.32970143274658104,Fallback to Mid Confidence (75%)
0Y-3month-042A-02.wav,0.0,595.1958536345205,0.9102181647673692,"No Fallback, 90% Confidence"
7Y-026A-F6.wav,7.0,780.5663130116591,0.7982168481857689,"No Fallback, 90% Confidence"
0Y-040A-09.wav,0.0,1181.9700594070705,0.7097087457539544,"No Fallback, 90% Confidence"
10Y-001A-M3-01.wav,10.0,412.4677024074355,0.6174669433871042,"No Fallback, 90% Confidence"
18Y-090A-F.wav,18.0,355.90792754362,0.6996945909029523,"No Fallback, 90% Confidence"
11Y-053A-F-03.wav,11.0,402.78668589827333,0.7487030388343902,"No Fallback, 90% Confidence"
11Y-053A-F-02.wav,11.0,398.0721165491581,0.7169567463975964,"No Fallback, 90% Confidence"
16Y-057A-X.wav,16.0,443.39201745833475,0.6500291941722609,"No Fallback, 90% Confidence"
7Y-038A-F-02.wav,7.0,979.1473763296879,0.7892897700677153,"No Fallback, 90% Confidence"
3Y-105A-M2-AN.wav,3.0,511.0931416698355,0.21495328631763364,Fallback to Low Confidence (50%)
15Y-106A-M2-AT-06.wav,15.0,474.43615194249037,0.7723973388878667,"No Fallback, 90% Confidence"
0Y-040A-08.wav,0.0,1124.3091160724125,0.6050004297704027,"No Fallback, 90% Confidence"
0Y-3month-042A-03.wav,0.0,628.476021823075,0.7646421265151155,"No Fallback, 90% Confidence"
5Y-000A-F9-HD-07.wav,5.0,1270.0200506501005,0.42267841190914623,"No Fallback, 90% Confidence"
0Y-8week-046A-07.wav,0.0,779.9291004171747,0.5650136326981146,"No Fallback, 90% Confidence"
0Y-8week-046A-13.wav,0.0,722.7086365475259,0.6421309035757313,"No Fallback, 90% Confidence"
1Y-065A-F-03.wav,1.0,829.6184374891006,0.80344606805266,"No Fallback, 90% Confidence"
0Y-5wks-014B-X1-05.wav,0.0,1973.9524478348599,0.21481361187084816,Fallback to Mid Confidence (75%)
3Y-018A-M2-01.wav,3.0,612.3039322193947,0.5593901103798379,Fallback to Mid Confidence (75%)
18Y-117A-F1-07.wav,18.0,222.26632481409192,0.6146653608552047,"No Fallback, 90% Confidence"
5Y-000A-F1-03.wav,5.0,631.9601832363563,0.8426171893976173,"No Fallback, 90% Confidence"
3Y-071A-X-05.wav,3.0,467.0117433156231,0.8171892919961143,"No Fallback, 90% Confidence"
16Y-057A-X-2.wav,16.0,355.192147835867,0.4143284577341964,"No Fallback, 90% Confidence"
0Y-109A-X1-04.wav,0.0,784.3016624407068,0.7071781781812508,"No Fallback, 90% Confidence"
2Y-000B-F1-WO-01.wav,2.0,614.4829760211499,0.8107002051892104,"No Fallback, 90% Confidence"
2Y-068A-X-02.wav,2.0,502.85009616814534,0.7863175421953201,"No Fallback, 90% Confidence"
6Y-007A-M2-02.wav,6.0,581.5623201372289,0.7521987693465274,"No Fallback, 90% Confidence"
16Y-057A-X-1-02.wav,16.0,490.4507445163509,0.7089772552373956,"No Fallback, 90% Confidence"
